ncm,descricao
2601,Minerios de ferro e seus concentrados
2602,Minerios de manganes e seus concentrados
2603,Minerios de cobre e seus concentrados
2604,Minerios de niquel e seus concentrados
2605,Minerios de cobalto e seus concentrados
2606,Minerios de aluminio e seus concentrados
2607,Minerios de chumbo e seus concentrados
2608,Minerios de zinco e seus concentrados
2609,Minerios de estanho e seus concentrados
2610,Minerios de cromo e seus concentrados
2611,Minerios de tungstenio e seus concentrados
2612,Minerios de uranio ou de torio
2613,Minerios de molibdenio e seus concentrados
2614,Minerios de titanio e seus concentrados
2615,Minerios de nióbio tântalo vanádio ou zircônio
2616,Minerios de metais preciosos e seus concentrados
2617,Outros minerios e seus concentrados
